ID	Names	InChIKey
128	(-)-alpha-Terpineol|(-)-alpha-terpineol|(1S)-alpha,alpha,4-trimethyl-3-cyclohexene-1-methanol|(4S)-p-menth-1-en-8-ol|(L)-alpha-Terpineol|(S)-(-)-p-menth-1-en-8-ol|(S)-alpha,alpha,4-trimethyl-3-cyclohexene-1-methanol|(S)-alpha-terpineol|2-[(1S)-4-methylcyclohex-3-en-1-yl]propan-2-ol	WUOACPNHFRMFPN-SECBINFHSA-N
12834	an n-alkanal	
12855	(1S,2S)-1,2-dihydrobenzene-1,2-diol|(1S,2S)-cyclohexa-3,5-diene-1,2-diol	YDRSQRPHLBEPTP-WDSKDSINSA-N
12875	(2E)-3-(2-hydroxyphenyl)acrylate|(2E)-3-(2-hydroxyphenyl)prop-2-enoate|trans-2-coumarate	PMOWTIHVNWZYFI-UHFFFAOYSA-N
128753	(2E)-4-hydroxy-3-methylbut-2-enyl diphosphate|(2E)-4-hydroxy-3-methylbut-2-enyl diphosphate trianion|(2E)-4-hydroxy-3-methylbut-2-enyl pyrophosphate(3-)|(E)-4-hydroxy-3-methyl-but-2-enyl pyrophosphate|HMBPP	MDSIZRKJVDMQOQ-UHFFFAOYSA-N
12876	(2E)-3-(4-hydroxyphenyl)acrylate|(2E)-3-(4-hydroxyphenyl)prop-2-enoate|(E)-4-coumarate|trans-p-coumarate	NGSWKAQJJWESNS-UHFFFAOYSA-N
128769	3-methylbut-3-en-1-yl diphosphate|3-methylbut-3-enyl diphosphate|3-methylbut-3-enyl diphosphate trianion|3-methylbut-3-enyl pyrophosphate|isopentenyl diphosphate|isopentenyl pyrophosphate	NUHSROFQTUXZQQ-UHFFFAOYSA-N
129	(-)-3-methylene-6-(1-methylethyl)cyclohexene|(-)-beta-Phellandrene|(-)-beta-phellandrene|(-)-p-mentha-1(7),2-diene|(3R)-3-isopropyl-6-methylenecyclohexene|(4R)-p-mentha-1(7),2-diene|(6R)-3-methylidene-6-(propan-2-yl)cyclohex-1-ene|(R)-3-isopropyl-6-methylenecyclohexene|beta-phellandrene l-form	LFJQCDVYDGGFCH-SNVBAGLBSA-N
12931	D-Galactonate|D-galactonate	RGHNJXZEOKUKBD-MGCNEYSASA-N
1294	(20R,22R)-20,22-Dihydroxycholesterol|(20R,22R)-20,22-dihydroxycholesterol|(22R)-20alpha,22-Dihydroxycholesterol|(22R)-cholest-5-ene-3beta,20,22-triol|20,22-Dihydroxycholesterol|20alpha,22R-Dihydroxycholesterol|20alpha,22beta-Dihydroxycholesterol	ISBSSBGEYIBVTO-TYKWNDPBSA-N
12952	D-Galacturonate|D-galacturonate|aldehydo-D-galacturonate	LVHZOXFXQXJTGJ-REOHCLBHSA-N
1301	(22S)-22-hydroxycholesterol|(22S)-cholest-5-ene-3beta,22-diol|(3beta,22S)-Cholest-5-ene-3,22-diol	RZPAXNJLEKLXNO-QUOSNDFLSA-N
